,rank_ic
2014-09-01,-0.04166666666666667
2014-10-08,-0.18137254901960786
2014-11-03,-0.01547987616099071
2014-12-01,-0.24035087719298245
2015-01-05,0.12932330827067667
2015-02-02,-0.16691729323308271
2015-03-02,-0.12180451127819547
2015-04-01,0.09323308270676692
2015-05-04,0.48774509803921573
2015-06-01,0.15714285714285714
2015-07-01,0.0
2015-08-03,-0.30882352941176466
2015-09-01,-0.6714285714285713
2015-10-08,0.25696594427244585
2015-11-02,0.007017543859649123
2015-12-01,-0.37323546019198195
2016-01-04,-0.2278260869565217
2016-02-01,-0.28086956521739126
2016-03-01,0.32608695652173914
2016-04-01,-0.13932806324110672
2016-05-03,-0.02089215132693394
2016-06-01,0.36695652173913035
2016-07-01,0.30999999999999994
2016-08-01,-0.027826086956521737
2016-09-01,-0.38241106719367585
2016-10-10,0.026679841897233204
2016-11-01,-0.1443478260869565
2016-12-01,0.09486166007905138
2017-01-03,0.21061547148503673
2017-02-03,0.18675889328063244
2017-03-01,0.14260869565217388
2017-04-05,-0.1202710333145116
2017-05-02,-0.0691699604743083
2017-06-01,0.29249011857707513
2017-07-03,0.2341897233201581
2017-08-01,-0.20347826086956516
2017-09-01,0.13846153846153844
2017-10-09,0.028376068376068375
2017-11-01,0.06923076923076923
2017-12-01,0.39072039072039066
2018-01-02,-0.22119658119658114
2018-02-01,0.08485958485958486
2018-03-01,-0.2556650246305418
2018-04-02,0.13546798029556648
2018-05-02,0.1992337164750958
2018-06-01,0.451559934318555
2018-07-02,-0.14012041598248495
2018-08-01,0.2261083743842364
2018-09-03,-0.3157258064516129
2018-10-08,-0.5471774193548388
2018-11-01,-0.22903225806451613
2018-12-03,-0.01063049853372434
2019-01-02,0.2412023460410557
2019-02-01,-0.19941348973607034
2019-03-01,-0.16972140762463342
2019-04-01,-0.12426686217008798
2019-05-06,-0.2730938416422287
2019-06-03,0.033357771260997066
2019-07-01,-0.044451871657754015
2019-08-01,-0.21022727272727276
2019-09-02,-0.14739304812834225
2019-10-08,-0.161096256684492
2019-11-01,-0.11229946524064173
2019-12-02,0.1824866310160428
2020-01-02,0.12032085561497326
2020-02-03,0.14070855614973263
2020-03-02,-0.24933155080213906
2020-04-01,0.2660427807486631
2020-05-06,-0.03877329335840302
2020-06-01,0.08255347593582889
2020-07-01,-0.06717914438502674
2020-08-03,-0.0912433155080214
2020-09-01,-0.16271963330786857
2020-10-09,0.1824866310160428
2020-11-02,-0.047459893048128345
2020-12-01,0.19877769289533992
2021-01-04,0.43896103896103894
2021-02-01,-0.1419404125286478
2021-03-01,-0.25994397759103643
2021-04-01,-0.014005602240896357
2021-05-06,-0.4871148459383754
2021-06-01,0.004761904761904762
2021-07-01,-0.0953848311044218
2021-08-02,0.012612612612612614
2021-09-01,-0.3271692745376955
2021-10-08,-0.26600284495021337
2021-11-01,0.0710143341722289
2021-12-01,-0.3287449392712551
2022-01-04,-0.08442776735459663
2022-02-07,-0.07917448405253284
2022-03-01,-0.33714821763602254
2022-04-01,-0.06435272045028143
2022-05-05,-0.3924953095684804
2022-06-01,-0.38763066202090596
2022-07-01,-0.4958188153310105
2022-08-01,0.19495620658411356
2022-09-01,0.28964059196617337
2022-10-10,-0.40078526125037756
2022-11-01,0.2898780535912743
2022-12-01,0.08041680830286718
2023-01-03,-0.2444880700694654
2023-02-01,-0.11054062216852915
2023-03-01,-0.19933554817275748
2023-04-03,0.24327997583811536
2023-05-04,0.057988523104802174
2023-06-01,-0.137984496124031
2023-07-03,-0.3041578576462297
2023-08-01,0.24059196617336148
2023-09-01,-0.18711018722635156
2023-10-09,-0.12135306553911204
2023-11-01,0.22973925299506692
2023-12-01,0.045243128964059194
2024-01-02,0.045947850599013386
2024-02-01,-0.3231853417899929
2024-03-01,0.40789288231148696
2024-04-01,0.10866807610993655
2024-05-06,0.14460887949260043
2024-06-03,0.16943346508563897
2024-07-01,-0.4714097496706192
2024-08-01,-0.05046113306982872
2024-09-02,-0.2906455862977602
2024-10-08,-0.12397891963109352
2024-11-01,-0.1958063521430774
2024-12-02,-0.30841813135985197
