,rank_ic
2014-02-07,-0.24784521649507907
2014-03-03,-0.4141750039075623
2014-04-01,-0.12094439138234013
2014-05-05,-0.11613261111959625
2014-06-03,-0.10562588884398089
2014-07-01,-0.2477628831442523
2014-08-01,-0.28498382132407496
2014-09-01,-0.3256704213944045
2014-10-08,-0.11605998499186411
2014-11-03,-0.02477942458732773
2014-12-01,0.34844540502592175
2015-01-05,-0.3166052130710848
2015-02-02,-0.07659051852403768
2015-03-02,-0.23656618694270704
2015-04-01,-0.10857971707017187
2015-05-04,-0.43924069186774733
2015-06-01,0.011690405977269629
2015-07-01,0.098215330601805
2015-08-03,0.009968240321641486
2015-09-01,-0.21090293425906986
2015-10-08,-0.24781230316046934
2015-11-02,-0.33570777784858
2015-12-01,-0.29659889169123316
2016-01-04,-0.1337932751227317
2016-02-01,-0.09873945983502799
2016-03-01,-0.08964549867900826
2016-04-01,-0.3181599117819794
2016-05-03,0.02880715742397483
2016-06-01,-0.034376774526939546
2016-07-01,-0.37168364597615644
2016-08-01,-0.29358266637361374
2016-09-01,-0.3720201155383548
2016-10-10,-0.12517881524359933
2016-11-01,-0.10108621706176012
2016-12-01,-0.25401939299184334
2017-01-03,0.010699253320500542
2017-02-03,-0.034345733797359286
2017-03-01,-0.00046439797285277975
2017-04-05,-0.013219119119457771
2017-05-02,0.062989667728377
2017-06-01,0.006755129033588292
2017-07-03,0.03290780103846701
2017-08-01,-0.12470233205715142
2017-09-01,-0.11719728887758411
2017-10-09,-0.18105138740114968
2017-11-01,0.05183282153656135
2017-12-01,0.13412967996136574
2018-01-02,0.06548369385953617
2018-02-01,0.06841690385670482
2018-03-01,-0.22962304988666626
2018-04-02,-0.09926148087358512
2018-05-02,-0.15619930210771238
2018-06-01,0.13156669720108302
2018-07-02,-0.27782052065827306
2018-08-01,-0.12930197698536383
2018-09-03,-0.053478772345002236
2018-10-08,-0.10582354496736283
2018-11-01,-0.29784974048611546
2018-12-03,-0.18780199156083902
2019-01-02,0.012284339128965139
2019-02-01,0.16159450602698242
2019-03-01,-0.12680582819548572
2019-04-01,-0.1766138939302824
2019-05-06,-0.10820288915187992
2019-06-03,-0.020324014289671562
2019-07-01,-0.12519825606427534
2019-08-01,0.13445275052284295
2019-09-02,-0.10066360502596101
2019-10-08,-0.11713885612627827
2019-11-01,-0.019245061070367303
2019-12-02,0.1028340579075472
2020-01-02,0.04671900810713877
2020-02-03,0.1956952782725216
2020-03-02,-0.47790892495104437
2020-04-01,0.20087856699032086
2020-05-06,-0.06764509917849933
2020-06-01,0.20119496977842372
2020-07-01,-0.07849940859113433
2020-08-03,-0.23696824724063797
2020-09-01,-0.07517058742061582
2020-10-09,0.003254241947542429
2020-11-02,-0.14678847624678343
2020-12-01,0.20447748335844088
2021-01-04,0.10360860605751024
2021-02-01,-0.2326343359384976
2021-03-01,-0.28528836361830495
2021-04-01,-0.048674519961324075
2021-05-06,0.033643572730188205
2021-06-01,-0.13659776757761377
2021-07-01,0.014677359341340141
2021-08-02,-0.15159927683602048
2021-09-01,-0.25522647097183987
2021-10-08,-0.012858527109128827
2021-11-01,-0.2764018803814294
2021-12-01,-0.3759407039089554
2022-01-04,-0.3266883104073072
2022-02-07,-0.033146359014810764
2022-03-01,-0.07734929902807161
2022-04-01,-0.02312892696717598
2022-05-05,-0.240304792058954
2022-06-01,-0.029151784841950548
2022-07-01,-0.21250345009405786
2022-08-01,-0.20367139612043522
2022-09-01,-0.15693334468056822
2022-10-10,-0.2078140780457364
2022-11-01,-0.051071846158531026
2022-12-01,-0.027915879584133302
2023-01-03,-0.1779722041098571
2023-02-01,-0.28189081984080533
2023-03-01,0.006254863102149497
2023-04-03,-0.06687200727598239
2023-05-04,-0.20433404139838995
2023-06-01,-0.09389663116316815
2023-07-03,-0.3165956486066989
2023-08-01,-0.14318126288082816
2023-09-01,-0.17204215755035332
2023-10-09,-0.15456420343015514
2023-11-01,-0.16270155376820508
2023-12-01,-0.23554446550871397
2024-01-02,0.0318986938969242
2024-02-01,0.41226786886701655
2024-03-01,-0.2639593880556073
2024-04-01,-0.1424112640605471
2024-05-06,0.01389124361940764
2024-06-03,0.18345886175136053
2024-07-01,-0.09088296393217754
2024-08-01,-0.27031843754061685
2024-09-02,0.10848328091775575
2024-10-08,0.007917590178007547
2024-11-01,-0.3337013249364052
2024-12-02,0.01233777476254125
