,rank_ic
2014-05-05,0.15849376077127303
2014-06-03,0.16826191775203728
2014-07-01,-0.3245254389859046
2014-08-01,0.0834064078288574
2014-09-01,-0.0371928278879555
2014-10-08,-0.19012924285126007
2014-11-03,-0.17381613131230966
2014-12-01,-0.3420117082350633
2015-01-05,-0.0003900547398205758
2015-02-02,0.11696276531014278
2015-03-02,-0.11850486952300171
2015-04-01,-0.07330449091092475
2015-05-04,0.23181927691225468
2015-06-01,-0.43958926790259273
2015-07-01,-0.1452021461223414
2015-08-03,-0.22774844915772646
2015-09-01,0.15938251589629482
2015-10-08,0.2979014715999483
2015-11-02,0.1473291082493201
2015-12-01,-0.21540633084729882
2016-01-04,-0.33555945954006056
2016-02-01,-0.14559395792971627
2016-03-01,0.30314547997720465
2016-04-01,-0.06852284678399105
2016-05-03,0.0411309960395271
2016-06-01,0.18399481566510278
2016-07-01,-0.524503899981326
2016-08-01,-0.03956378842901478
2016-09-01,-0.14681629625834117
2016-10-10,0.07638650172382204
2016-11-01,-0.17691822763654844
2016-12-01,-0.12185456711505539
2017-01-03,-0.31477262556445756
2017-02-03,0.046809932567112064
2017-03-01,-0.18575545844066974
2017-04-05,-0.27310009789587836
2017-05-02,-0.3075935157451745
2017-06-01,-0.02053273850768972
2017-07-03,-0.2900360800027833
2017-08-01,0.24013788865628938
2017-09-01,-0.01148309017184752
2017-10-09,-0.2797276867471487
2017-11-01,-0.14175472121619004
2017-12-01,-0.002539455408292011
2018-01-02,-0.30308460571265056
2018-02-01,0.11594550332555617
2018-03-01,0.23928340707641543
2018-04-02,-0.16914103649607184
2018-05-02,-0.14241029528041563
2018-06-01,0.04085936910175492
2018-07-02,-0.27690114068375765
2018-08-01,-0.28827801557277594
2018-09-03,-0.2055495788220008
2018-10-08,-0.08886346105830921
2018-11-01,-0.038386417588050836
2018-12-03,-0.1515367191320137
2019-01-02,-0.2579765256840638
2019-02-01,0.42997623816169483
2019-03-01,0.02771843818468473
2019-04-01,-0.34070288999726794
2019-05-06,-0.028769163746578168
2019-06-03,-0.14659981572910027
2019-07-01,-0.21195297366295549
2019-08-01,0.15889642431124767
2019-09-02,-0.022020503788830807
2019-10-08,-0.1954643780396522
2019-11-01,-0.13171236736933817
2019-12-02,0.1902937763482614
2020-01-02,0.07593943406308654
2020-02-03,0.1874736576568559
2020-03-02,-0.4678473878412181
2020-04-01,0.1584531623994891
2020-05-06,0.030850224305446903
2020-06-01,0.11688429636236286
2020-07-01,-0.10786462798721724
2020-08-03,-0.24723614434398067
2020-09-01,-0.0937018757806996
2020-10-09,-0.018649056866772384
2020-11-02,-0.2577846971218958
2020-12-01,-0.032618111794357384
2021-01-04,-0.0926620623105031
2021-02-01,-0.0957036300974461
2021-03-01,-0.26959331539094594
2021-04-01,0.03274023377129919
2021-05-06,0.17784181104461802
2021-06-01,-0.03303358231409922
2021-07-01,0.005420751646249922
2021-08-02,-0.2201840898816479
2021-09-01,-0.3710638819210197
2021-10-08,0.03342333582500454
2021-11-01,0.10382693341701983
2021-12-01,-0.4129806996528816
2022-01-04,-0.41188084061660957
2022-02-07,-0.02142291915275192
2022-03-01,-0.09431156762077335
2022-04-01,-0.29902773337031163
2022-05-05,0.09517536828533113
2022-06-01,-0.018414138263950768
2022-07-01,0.022865095910947226
2022-08-01,-0.2899534600958718
2022-09-01,-0.28690466740152043
2022-10-10,0.10179525569712275
2022-11-01,-0.20441046295682863
2022-12-01,-0.05216016504459568
2023-01-03,0.06780016102833394
2023-02-01,-0.17511595325916945
2023-03-01,-0.08823701111833737
2023-04-03,-0.20299275504511613
2023-05-04,0.09604042299433
2023-06-01,-0.03741405989687372
2023-07-03,-0.5174679459522893
2023-08-01,0.012705407336861246
2023-09-01,-0.179876329748824
2023-10-09,-0.061127116810472865
2023-11-01,0.1281695175704642
2023-12-01,-0.2322571719215249
2024-01-02,-0.49350883395642087
2024-02-01,0.12692586977656134
2024-03-01,0.23887313306630223
2024-04-01,-0.4170053491313589
2024-05-06,-0.13160982376094527
2024-06-03,-0.13988082103613828
2024-07-01,-0.0006868833966649127
2024-08-01,-0.13049500493615476
2024-09-02,0.35486018098784167
2024-10-08,-0.10704936016894975
2024-11-01,-0.12330793495321608
2024-12-02,-0.31366774425358274
