,rank_ic
2014-02-07,-0.0038350650418781597
2014-03-03,-0.11909727690694696
2014-04-01,-0.05835526937260853
2014-05-05,0.00234351852507759
2014-06-03,-0.03076704401125473
2014-07-01,-0.09886655779625754
2014-08-01,-0.08890217262488116
2014-09-01,-0.01893215418094814
2014-10-08,0.042054289133942574
2014-11-03,-0.0007518184031060859
2014-12-01,0.09093711028523348
2015-01-05,-0.18468942552042414
2015-02-02,0.024954302782703455
2015-03-02,-0.05106468011953351
2015-04-01,-0.03496650848299646
2015-05-04,-0.07399144552528095
2015-06-01,-0.2053637776431008
2015-07-01,0.07935476348579328
2015-08-03,-0.16485796801035904
2015-09-01,-0.12204020315282717
2015-10-08,-0.06239699545033599
2015-11-02,-0.07791731344919385
2015-12-01,-0.20817315290029725
2016-01-04,-0.04536182579498344
2016-02-01,-0.045834695008076284
2016-03-01,-0.1542420167660528
2016-04-01,-0.045671972191118106
2016-05-03,-0.04798108732059662
2016-06-01,-0.010216824884740575
2016-07-01,-0.11161003709704131
2016-08-01,-0.030349145053817143
2016-09-01,0.007091085530390828
2016-10-10,0.01245721520690931
2016-11-01,0.006443574417496878
2016-12-01,-0.011277666419473472
2017-01-03,-0.10712225726376376
2017-02-03,0.018291543450341407
2017-03-01,-0.03796389122517981
2017-04-05,-0.023387216610860743
2017-05-02,-0.06030671123817613
2017-06-01,-0.13102237029016403
2017-07-03,-0.022141982105192422
2017-08-01,-0.035292065764823154
2017-09-01,-0.09316826217119639
2017-10-09,-0.08693466856494013
2017-11-01,-0.0875004591346864
2017-12-01,0.016478571418422447
2018-01-02,-0.04198352754404546
2018-02-01,-0.061448485457560126
2018-03-01,-0.029720904663006573
2018-04-02,-0.03969325646485338
2018-05-02,-0.03251396373266803
2018-06-01,-0.08203412916490826
2018-07-02,-0.08926079997088986
2018-08-01,-0.051929677659580814
2018-09-03,-0.05277619792079427
2018-10-08,-0.04423282256550038
2018-11-01,-0.08092965426579851
2018-12-03,-0.042221236639250447
2019-01-02,-0.09502058058210049
2019-02-01,0.028106569730045345
2019-03-01,-0.018245498024481242
2019-04-01,-0.1067059901956032
2019-05-06,-0.03883308575605802
2019-06-03,-0.17560872496041885
2019-07-01,-0.08646328293556703
2019-08-01,0.022885738536669118
2019-09-02,-0.08110089396190627
2019-10-08,-0.058413116817769964
2019-11-01,-0.06410942853130966
2019-12-02,-0.018616368990114648
2020-01-02,0.00397511669897387
2020-02-03,-0.040766868672699165
2020-03-02,-0.14292124397090475
2020-04-01,-0.07787075594575697
2020-05-06,0.004431759660814808
2020-06-01,-0.0672824247470298
2020-07-01,-0.04209090553597892
2020-08-03,-0.17174878467261914
2020-09-01,-0.04240761796939566
2020-10-09,-0.009613656216895364
2020-11-02,-0.026926696052762537
2020-12-01,-0.03276298104985385
2021-01-04,-0.09519912003649414
2021-02-01,-0.01753042844642101
2021-03-01,-0.05267670118608344
2021-04-01,-0.10733559026933435
2021-05-06,0.047596383812033696
2021-06-01,-0.08282234961303184
2021-07-01,-0.009504776760471229
2021-08-02,-0.07531536623788654
2021-09-01,-0.14699829396019076
2021-10-08,-0.04135593977447006
2021-11-01,-0.04664732540186512
2021-12-01,-0.11647432926769175
2022-01-04,-0.10030950189401033
2022-02-07,0.061673760600247186
2022-03-01,0.008132513735149716
2022-04-01,-0.09789948741951968
2022-05-05,-0.023572981461133673
2022-06-01,-0.13035921966366099
2022-07-01,-0.011342672090723309
2022-08-01,-0.14849123473229295
2022-09-01,-0.049848651162272016
2022-10-10,-0.07798524248268102
2022-11-01,-0.065980982646395
2022-12-01,-0.11021156852380042
2023-01-03,-0.11957422284083197
2023-02-01,-0.050805090342155294
2023-03-01,-0.040452826328296505
2023-04-03,-0.029742352031030758
2023-05-04,-0.0289793898042155
2023-06-01,-0.045348105855647386
2023-07-03,-0.08774211491464692
2023-08-01,-0.08445271508615523
2023-09-01,-0.0875230215202044
2023-10-09,-0.054682498128227834
2023-11-01,-0.03474009452567754
2023-12-01,-0.056439753553639546
2024-01-02,-0.12928277204558483
2024-02-01,-0.08053348312917034
2024-03-01,-0.07147337232599989
2024-04-01,-0.1272500559625333
2024-05-06,-0.01119236167166471
2024-06-03,-0.05453529766579615
2024-07-01,-0.031010849379915016
2024-08-01,-0.10510375515557924
2024-09-02,-0.05868669885920499
2024-10-08,0.13324398907411913
2024-11-01,-0.21132017482461754
2024-12-02,-0.1045587248770954
