,rank_ic
2014-03-03,-0.11549031574422104
2014-04-01,-0.01462104668605478
2014-05-05,-0.032485900930769654
2014-06-03,0.13237704328307848
2014-07-01,-0.2885431897072877
2014-08-01,-0.2766713705140115
2014-09-01,0.04876077315268756
2014-10-08,-0.0014133916858848378
2014-11-03,0.009290927746842797
2014-12-01,0.15026010507258392
2015-01-05,-0.4958528135958202
2015-02-02,0.2053337697450064
2015-03-02,0.0710589602106208
2015-04-01,-0.0369784091225076
2015-05-04,-0.03537403367853698
2015-06-01,-0.5430659850481726
2015-07-01,-0.1551123033743387
2015-08-03,-0.011444697044498674
2015-09-01,-0.2929555112910982
2015-10-08,-0.12993846179727037
2015-11-02,0.13862112906837198
2015-12-01,-0.20295532140958403
2016-01-04,-0.17464479904687308
2016-02-01,-0.027490149616596713
2016-03-01,-0.3317661119124682
2016-04-01,-0.01155682223382244
2016-05-03,-0.07399513822688722
2016-06-01,0.01782422178542524
2016-07-01,-0.4096676470656107
2016-08-01,-0.08808368402143756
2016-09-01,0.0775054836623917
2016-10-10,-0.14121074425100613
2016-11-01,-0.004855379318813358
2016-12-01,0.018583393462371853
2017-01-03,0.1136290726559804
2017-02-03,-0.1378106791012889
2017-03-01,0.04812478971992772
2017-04-05,0.18159513095503335
2017-05-02,0.3400918125535757
2017-06-01,-0.22028076563444032
2017-07-03,0.10666091842218246
2017-08-01,-0.33923051062901244
2017-09-01,0.025551690781757598
2017-10-09,-0.10258581624766362
2017-11-01,0.07150875578762328
2017-12-01,0.057866178853783146
2018-01-02,-0.0026254878216256136
2018-02-01,-0.17929485188511787
2018-03-01,-0.21026352818630573
2018-04-02,-0.04915191047695901
2018-05-02,-0.03280571105477159
2018-06-01,-0.05090305939757726
2018-07-02,-0.16179704270580672
2018-08-01,0.20533613199227685
2018-09-03,0.03731540129492553
2018-10-08,0.01477395615075725
2018-11-01,-0.24822397102013627
2018-12-03,-0.11531640293933065
2019-01-02,-0.05219218074416419
2019-02-01,-0.32556951468942885
2019-03-01,0.05076627531705969
2019-04-01,-0.14160796501784137
2019-05-06,-0.1333614543653205
2019-06-03,-0.1898613990851055
2019-07-01,-0.033175700945217886
2019-08-01,0.04471058699417184
2019-09-02,-0.11381935060607329
2019-10-08,0.014264973613932714
2019-11-01,-0.010474722006162515
2019-12-02,-0.04734241861585833
2020-01-02,0.03755178170897501
2020-02-03,0.1759877346694044
2020-03-02,-0.24581691825041196
2020-04-01,-0.23034389157384
2020-05-06,0.02142676830143164
2020-06-01,0.027469525203226673
2020-07-01,-0.08083865100208072
2020-08-03,-0.09647869949202309
2020-09-01,0.007096066712923324
2020-10-09,0.11514749514136309
2020-11-02,-0.1270134088151696
2020-12-01,0.11511343011793002
2021-01-04,0.06523820388408141
2021-02-01,-0.1911119419116487
2021-03-01,0.05904371393815512
2021-04-01,-0.12659347244912805
2021-05-06,0.037839701830859995
2021-06-01,-0.014678333064332043
2021-07-01,0.19614614673951877
2021-08-02,-0.02280896973919708
2021-09-01,-0.19244636810705296
2021-10-08,-0.20612613582919326
2021-11-01,-0.1475846019188883
2021-12-01,-0.2727814160869897
2022-01-04,0.02805569755538437
2022-02-07,-0.0047459029440547395
2022-03-01,0.016925692282524184
2022-04-01,0.0176859705758017
2022-05-05,-0.26536185710132054
2022-06-01,0.03718346458254121
2022-07-01,0.0438465705145157
2022-08-01,-0.2589612432641937
2022-09-01,0.10485502733505961
2022-10-10,-0.16282919975667307
2022-11-01,-0.41070612464264983
2022-12-01,-0.10909929405617826
2023-01-03,-0.35969347913429606
2023-02-01,-0.08648843197695201
2023-03-01,0.08734232284166986
2023-04-03,0.03703304335466414
2023-05-04,-0.1744756051342506
2023-06-01,-0.012882725988640747
2023-07-03,-0.22029611555683945
2023-08-01,-0.06974630614058357
2023-09-01,-0.007923684194198113
2023-10-09,0.16336615629374937
2023-11-01,-0.005106513993188196
2023-12-01,0.0031979673044335417
2024-01-02,0.0023541235258357383
2024-02-01,-0.16126808310319543
2024-03-01,-0.3459636237956549
2024-04-01,-0.13923099607499945
2024-05-06,0.23538043818067053
2024-06-03,0.1363005622688552
2024-07-01,-0.11318908529799945
2024-08-01,-0.06401979314471518
2024-09-02,-0.16997654068478912
2024-10-08,-0.037710610644560036
2024-11-01,-0.20583298141143005
2024-12-02,-0.12636752859554934
