,rank_ic
2015-03-02,-0.05054945054945055
2015-04-01,0.6352941176470589
2015-05-04,-0.054945054945054944
2015-06-01,-0.20979020979020982
2015-07-01,-0.28571428571428564
2015-08-03,-0.3098901098901099
2015-09-01,-0.4153846153846154
2015-10-08,0.286764705882353
2015-11-02,0.15686274509803924
2015-12-01,-0.3333333333333333
2016-01-04,-0.3116883116883117
2016-02-01,-0.20909090909090908
2016-03-01,0.1736842105263158
2016-04-01,-0.25864661654135335
2016-05-03,-0.08978328173374613
2016-06-01,0.03157894736842105
2016-07-01,-0.06225296442687748
2016-08-01,-0.101072840203275
2016-09-01,-0.21852060982495766
2016-10-10,0.019762845849802372
2016-11-01,-0.23217391304347823
2016-12-01,0.3577075098814229
2017-01-03,0.11688311688311688
2017-02-03,-0.07735742518351214
2017-03-01,-0.19071146245059292
2017-04-05,-0.3280632411067194
2017-05-02,-0.08498023715415019
2017-06-01,0.4723320158102767
2017-07-03,0.16996047430830039
2017-08-01,-0.13636363636363635
2017-09-01,0.021739130434782605
2017-10-09,0.2652173913043478
2017-11-01,-0.01482213438735178
2017-12-01,0.16923076923076924
2018-01-02,0.07304347826086956
2018-02-01,0.045470085470085464
2018-03-01,-0.5134099616858239
2018-04-02,0.10892172961138478
2018-05-02,-0.19597069597069594
2018-06-01,0.36446886446886445
2018-07-02,-0.02564102564102564
2018-08-01,0.20361247947454844
2018-09-03,-0.064293659621802
2018-10-08,-0.2703003337041157
2018-11-01,-0.20622914349276972
2018-12-03,0.020564516129032262
2019-01-02,0.4173387096774194
2019-02-01,-0.07580645161290324
2019-03-01,-0.3863636363636363
2019-04-01,-0.34860703812316707
2019-05-06,0.46847507331378296
2019-06-03,0.187683284457478
2019-07-01,0.001466275659824047
2019-08-01,-0.11363636363636363
2019-09-02,0.07038123167155425
2019-10-08,-0.16495601173020527
2019-11-01,-0.10483870967741933
2019-12-02,0.3914956011730205
2020-01-02,0.011697860962566845
2020-02-03,-0.04044117647058824
2020-03-02,-0.1229946524064171
2020-04-01,0.2466577540106952
2020-05-06,-0.18734854247745597
2020-06-01,-0.06684491978609626
2020-07-01,-0.04010695187165776
2020-08-03,-0.08489304812834225
2020-09-01,-0.2362967914438503
2020-10-09,-0.07001466275659823
2020-11-02,-0.2857666587018007
2020-12-01,0.09358288770053476
2021-01-04,0.5925802139037434
2021-02-01,-0.08723262032085562
2021-03-01,-0.3048128342245989
2021-04-01,-0.120244461420932
2021-05-06,-0.41778074866310166
2021-06-01,-0.0964094728800611
2021-07-01,-0.06799083269671503
2021-08-02,0.07838044308632544
2021-09-01,-0.234733893557423
2021-10-08,-0.24565826330532214
2021-11-01,-0.20140056022408967
2021-12-01,-0.15630252100840336
2022-01-04,-0.2627450980392157
2022-02-07,0.08906048906048908
2022-03-01,0.11664295874822189
2022-04-01,-0.1906116642958748
2022-05-05,0.1695116168800379
2022-06-01,-0.27024291497975705
2022-07-01,-0.20544090056285183
2022-08-01,-0.007879924953095686
2022-09-01,-0.07636022514071296
2022-10-10,-0.2839721254355401
2022-11-01,0.20767455048228264
2022-12-01,-0.08344947735191639
2023-01-03,-0.4247386759581882
2023-02-01,-0.026659103800340332
2023-03-01,-0.3311688311688311
2023-04-03,0.025823014195107217
2023-05-04,-0.2979462398067049
2023-06-01,-0.11975234068257323
2023-07-03,-0.3215040773180308
2023-08-01,0.1774388402295379
2023-09-01,-0.11069581311925193
2023-10-09,-0.20824524312896406
2023-11-01,0.46949562065841133
2023-12-01,-0.392107117688513
2024-01-02,0.12854122621564482
2024-02-01,0.19224806201550385
2024-03-01,0.024665257223396755
2024-04-01,0.08949964763918251
2024-05-06,-0.0063424947145877385
2024-06-03,0.10796335447498237
2024-07-01,-0.3804087385482734
2024-08-01,-0.04186046511627906
2024-09-02,-0.4191684284707541
2024-10-08,-0.26145172656800564
2024-11-01,-0.33051444679351655
2024-12-02,0.24400527009222658
